artist_id,full_name,first_name,middle_names,last_name,nationality,style,birth,death
557,"Liubov Popova",Liubov,NULL,Popova,Russian,"Modern Art",1889,1924
558,"Sansio Raphael",Sansio,NULL,Raphael,Italian,"High Renaissance",1483,1520
559,"Albert Marquet",Albert,NULL,Marquet,French,Post-Impressionist,1875,1947
560,"Charles Marion Russell",Charles,Marion,Russell,American,"American West",1864,1926
561,Canaletto,Giovanni,Antionio,Canaletto,Italian,Rococo,1697,1768
562,"Lyonel Feininger",Lyonel,NULL,Feininger,German,Expressionist,1871,1956
563,"Édouard Adam",Adam,NULL,Edouard,American,"Marine Art",1847,1929
564,"Willem Duyster",Willem,NULL,Duyster,Dutch,Baroque,1599,1635
565,"John James Audubon",John,James,Audubon,American,Naturalist,1785,1851
566,"Charles Towne",Charles,NULL,Towne,English,Romantic,1763,1840
567,"Jean Auguste Ingres",Jean,Auguste,Ingres,French,Neoclassical,1780,1867
568,"Theo Van Doesburg",Theo,NULL,"Van Doesburg",Dutch,Futurist,1883,1931
569,"Adriaan De Lelie",Adriaan,NULL,"De Lelie",Dutch,Portraitist,1755,1820
570,"Constantin A. Westchiloff",Constantin,A,Westchiloff,Russian,Impressionist,1877,1945
571,"Théophile Steinlen",Theophile,Alexandre,Steinlen,French,"Art Nouveau",1859,1923
572,"John Trumbull",John,NULL,Trumbull,American,Neoclassical,1756,1843
573,"Alfred Sisley",Alfred,NULL,Sisley,French,Impressionist,1839,1899
574,"Johannes Vermeer",Jan,NULL,Vermeer,Dutch,Baroque,1632,1675
575,"Nicolaes Berchem",Nicolaes,NULL,Berchem,Dutch,Baroque,1620,1683
576,"Roger De La Fresnaye",Roger,NULL,"De La Fresnaye",French,Cubist,1885,1925
577,"Kees Van Dongen",Kees,NULL,"Van Dongen",Dutch,Fauvist,1877,1968
578,"Thomas Lyde Hornbrook",Thomas,Lyde,Hornbrook,English,"Marine Art",1780,1855
579,"Thomas Hovenden",Thomas,NULL,Hovenden,American,Colonial,1840,1895
580,"Henri Manguin",Henri,NULL,Manguin,French,Post-Impressionist,1874,1949
581,"John White Alexander",John,White,Alexander,American,Symbolist,1856,1915
582,"Charles Demuth",Charles,NULL,Demuth,American,"Modern Art",1883,1935
583,"Pompeo Girolamo Batoni",Pompeo,Girolamo,Batoni,Italian,Rococo,1708,1787
584,"Charles Sprague Pearce",Charles,Sprague,Pearce,American,Realist,1851,1914
585,"Suzanne Valadon",Suzanne,NULL,Valadon,French,Post-Impressionist,1865,1938
586,"Gabrie¨l Metsu",Gabriel,NULL,Metsu,Dutch,Baroque,1629,1667
587,"Georges Braque",Georges,NULL,Braque,French,Cubist,1882,1963
588,"Caspar David Friedrich",Caspar,David,Friedrich,German,Romantic,1774,1840
589,"William Merritt Chase",William,Merritt,Chase,American,Impressionist,1849,1916
590,"Antoine Bouvard",Antoine,NULL,Bouvard,French,Impressionist,1870,1956
591,"William P. Chappel",William,P,Chappel,American,Avant-Garde,1828,1887
592,"Aelbert Cuyp",Aelbert,NULL,Cuyp,Dutch,Baroque,1620,1691
593,"Robert Henri",Robert,NULL,Henri,American,Realist,1865,1929
594,"Isaak Levitan",Isaak,NULL,Levitan,Russian,Realist,1860,1900
595,"Francois Boucher",Francois,NULL,Boucher,French,Rococo,1703,1770
596,"Pieter Bruegel",Pieter,NULL,Bruegel,Dutch,Renaissance,1525,1530
597,"Adriaen Thomasz. Key",Adriaen,Thomasz,Key,Dutch,Renaissance,1544,1589
598,"Edgar Degas",Edgar,NULL,Degas,French,Impressionist,1834,1917
599,"Thomas Sully",Thomas,NULL,Sully,American,Portraitist,1783,1872
600,"Antoine-Jean Gros",Antoine,Jean,Gros,French,Neoclassical,1771,1835
601,"George Romney",George,NULL,Romney,English,Realist,1734,1802
602,"Francis Luis Mora",Francis,Luis,Mora,American,Realist,1874,1940
603,"George Stubbs",George,NULL,Stubbs,English,Romantic,1724,1806
604,"Louis Vivin",Louis,NULL,Vivin,French,Avant-Garde,1861,1936
605,"Dominic Serres",Dominic,NULL,Serres,English,"Marine Art",1722,1793
606,"Simon De Vlieger",Simon,NULL,"De Vlieger",Dutch,"Marine Art",1600,1653
607,"Sir Anthony Van Dyck",Anthony,NULL,"Van Dyck",Flemish,Baroque,1599,1641
608,"James McNeill Whistler",James,Mcneill,Whistler,American,Impressionist,1834,1903
609,"John Singleton Copley",John,Singleton,Copley,American,Colonial,1738,1815
610,"Alfred Thompson Bricher",Alfred,Thompson,Bricher,American,"Hudson River School",1837,1908
611,"Sir Edwin Landseer",Sir,Edwin,Landseer,English,Realist,1802,1873
612,"Katsushika Hokusai",Katsushika,NULL,Hokusai,Japanese,Ukiyo-e,1760,1849
613,"John Everett Millais",John,Everett,Millais,English,Romantic,1829,1896
614,"Childe Hassam",Childe,NULL,Hassam,American,Impressionist,1859,1935
615,"Abraham Mignon",Abraham,NULL,Mignon,Dutch,Baroque,1640,1679
616,"Adèle Romany",Adele,NULL,Romany,French,Portraitist,1769,1846
617,"Hendrik Voogd",Hendrik,NULL,Voogd,Dutch,"Landscape Art",1768,1839
618,"Paula Modersohn-Becker",Becker,Paula,Modersohn,German,Expressionist,1876,1907
619,"Sandro Botticelli",Sandro,NULL,Botticelli,Italian,"Early Renaissance",1445,1510
620,"Yves Tanguy",Yves,NULL,Tanguy,French,Surrealist,1900,1955
621,"Adélaïde Labille-Guiard",Adelaide,Labille,Guiard,French,Neoclassical,1749,1803
622,"William Bradford",William,NULL,Bradford,American,"Marine Art",1823,1892
623,"Henry Moret",Henry,NULL,Moret,French,Impressionist,1856,1913
624,"Theodore C. Steele",Theodore,C,Steele,American,Impressionist,1847,1926
625,"Gerard Ter Borch",Gerard,NULL,"Ter Borch",Dutch,Baroque,1617,1681
626,"John Ottis Adams",John,Ottis,Adams,American,Impressionist,1851,1927
627,Titian,Tiziano,NULL,Vecellio,Italian,"High Renaissance",1485,1576
628,"Joachim Beuckelaer",Joachim,NULL,Beuckelaer,Dutch,Renaissance,1533,1574
629,"Hans Dahl",Hans,NULL,Dahl,Norwegian,Realist,1849,1937
630,"Juan Gris",Juan,NULL,Gris,Spanish,Cubist,1887,1927
631,"Bartholomeus Van Der Helst",Bartholomeus,NULL,"Van der Helst",Dutch,Portraitist,1613,1670
632,"Eugene De Blaas",Eugene,NULL,"De Blaas",Austrian,Classicist,1843,1931
633,"Ivan Aivazovskiy",Ivan,NULL,Aivazovskiy,Russian,"Landscape Art",1817,1900
634,"Charles Caleb Ward",Charles,Caleb,Ward,Canadian,Realist,1811,1879
635,"Rosa Bonheur",Rosa,NULL,Bonheur,French,Realist,1822,1899
636,"Carlo Brancaccio",Carlo,NULL,Brancaccio,Italian,Impressionist,1861,1920
637,"William Michael Harnett",William,Michael,Harnett,American,Realist,1848,1892
638,"Jean-Baptiste Oudry",Jean,Baptiste,Oudry,French,Baroque,1686,1755
639,"George Caleb Bingham",George,Caleb,Bingham,American,Realist,1811,1879
640,"Thomas Jacques Somerscales",Thomas,Jacques,Somerscales,English,"Marine Art",1842,1927
641,"Arthur Fitzwilliam Tait",Arthur,Fitzwilliam,Tait,American,Naturalist,1819,1905
642,"Jan Adam Kruseman",Jan,Adam,Kruseman,Dutch,Portraitist,1804,1862
643,"Frans Francken",Frans,NULL,Francken,Flemish,Baroque,1581,1642
644,"Benjamin West",Benjamin,NULL,West,American,Neoclassical,1738,1820
645,"Gustave Courbet",Gustave,NULL,Courbet,French,Realist,1819,1877
646,"Louis Apol",Louis,NULL,Apol,Dutch,Impressionist,1850,1936
647,"Simon Vouet",Simon,NULL,Vouet,French,Baroque,1590,1649
648,"Jean-Francois Millet",Jean,Francois,Millet,French,Realist,1814,1875
649,"Maurice Utrillo",Maurice,NULL,Utrillo,French,Realist,1883,1955
650,"Édouard Manet",Edouard,NULL,Manet,French,Impressionist,1832,1883
651,"Jules Breton",Jules,NULL,Breton,French,Realist,1827,1906
652,"Paul Kane",Paul,NULL,Kane,Canadian,"America West",1810,1871
653,"Émile Bernard",Emile,NULL,Bernard,French,Symbolist,1868,1941
654,"Lev Feliksovich Lagorio",Lev,Feliksovich,Lagorio,Russian,Romantic,1827,1905
655,"Charles Cromwell Ingham",Charles,Cromwell,Ingham,Irish,Portraitist,1796,1863
656,"Wassily Kandinsky",Wassily,NULL,Kandinsky,Russian,Expressionist,1866,1944
657,"Gerrit Berckheyde",Gerrit,NULL,Berckheyde,Dutch,Rococo,1638,1698
658,"George P. A. Healy",George,"P A",Healy,American,Portraitist,1813,1894
659,"Albert André",Albert,NULL,Andre,French,Expressionist,1869,1954
660,"Georges Lemmen",Georges,NULL,Lemmen,Belgian,Pointillist,1865,1916
661,"Peder Severin Kroyer",Peder,Severin,Kroyer,Danish,Impressionist,1851,1909
662,"Charles Courtney Curran",Charles,Courtney,Curran,American,Impressionist,1861,1942
663,"Sir George Clausen",Sir,George,Clausen,English,Realist,1852,1944
664,"Ludwig Deutsch",Ludwig,NULL,Deutsch,Austrian,Orientalist,1855,1935
665,"Ludolf Backhuysen",Ludolf,NULL,Backhuysen,Dutch,"Marine Art",1631,1708
666,"Frederic Edwin Church",Frederic,Edwin,Church,American,"Hudson River School",1826,1900
667,"Jean-Léon Gérôme",Jean,Leon,Gerome,French,Orientalist,1824,1904
668,"John Wollaston",John,NULL,Wollaston,English,Rococo,1710,1775
669,"Ferdinand Hodler",Ferdinand,NULL,Hodler,Swiss,"Art Nouveau",1853,1918
670,"Vasiliy Polenov",Vasiliy,NULL,Polenov,Russian,"Landscape Art",1844,1927
671,"Thomas Waterman Wood",Thomas,Waterman,Wood,American,Colonial,1823,1903
672,"Benjamin Marshall",Benjamin,NULL,Marshall,English,Romantic,1768,1835
673,"Théodore Géricault",Theodore,NULL,Gericault,French,Romantic,1791,1824
674,"Claude-Joseph Vernet",Claude,Joseph,Vernet,French,Neoclassical,1714,1789
675,"Jan Brueghel",Jan,NULL,Brueghel,Flemish,Renaissance,1568,1625
676,"Francois-Hubert Drouais",Francois,Hubert,Drouais,French,Neoclassical,1727,1775
677,"Vincent Van Gogh",Vincent,NULL,"Van Gogh",Dutch,Post-Impressionist,1853,1890
678,"Cecilia Beaux",Cecilia,NULL,Beaux,American,Expressionist,1855,1942
679,"Kitagawa Utamaro",Kitagawa,NULL,Utamaro,Japanese,Ukiyo-e,1754,1806
680,"John Frederick Herring",John,Frederick,Herring,English,Realist,1795,1865
681,"Francisco De Zurbarán",Francisco,NULL,"De Zurbaran",Spanish,Baroque,1598,1664
682,"Gwen John",Gwen,NULL,John,English,Nabi,1876,1939
683,"George Frederic Watts",George,Frederic,Watts,English,Symbolist,1817,1904
684,"Carel Fabritius",Carel,NULL,Fabritius,Dutch,Baroque,1622,1654
685,"Eduard Von Grützner",Eduard,NULL,"Von Grutzner",German,Rococo,1846,1925
686,"Matthew Pratt",Matthew,NULL,Pratt,American,Colonial,1734,1805
687,"Carlo Carra",Carlo,NULL,Carra,Italian,Futurist,1881,1966
688,"Franz Marc",Franz,NULL,Marc,German,Expressionist,1880,1916
689,"Georges Seurat",Georges,NULL,Seurat,French,Pointillist,1859,1891
690,"John Hoppner",John,NULL,Hoppner,English,Neoclassical,1758,1810
691,"Fernand Léger",Fernand,NULL,Leger,French,Cubist,1881,1955
692,"Bartolomé Esteban Murillo",Bartolome,Esteban,Murillo,Spanish,Baroque,1617,1682
693,"John Frederick Kensett",John,Frederick,Kensett,American,"Hudson River School",1816,1872
694,"André Derain",Andre,NULL,Derain,French,Fauvist,1880,1954
695,"Étienne Dinet",Etienne,NULL,Dinet,French,Orientalist,1861,1929
696,"Henri Le Sidaner",Henri,NULL,"Le Sidaner",French,Post-Impressionist,1862,1939
697,"Reinier Nooms",Reinier,NULL,Nooms,Dutch,"Marine Art",1623,1664
698,"Benvenuto Garofalo",Benvenuto,NULL,Garofalo,Italian,Renaissance,1481,1559
699,"Jean-Baptiste-Siméon Chardin",Jean,Simeon,Chardin,French,Rococo,1699,1779
700,"William Redmore Bigg",William,Redmore,Bigg,English,Neoclassical,1755,1828
701,"Giovanni Battista Tiepolo",Giovanni,Battista,Tiepolo,Italian,Rococo,1696,1770
702,"Louis Valtat",Louis,NULL,Valtat,French,Fauvist,1869,1952
703,"Jacob Van Ruisdael",Jacob,Van,Ruisdael,Dutch,Baroque,1628,1682
704,"John Kane",John,NULL,Kane,American,Folk,1860,1934
705,"Willem Bartel Van Der Kooi",Willem,Bartel,"Van der Kooi",Dutch,Portraitist,1768,1836
706,"Anton Raphael Mengs",Anton,Raphael,Mengs,German,Neoclassical,1728,1779
707,"Laurent de La Hyre",Laurent,NULL,"De La Hyre",French,Baroque,1606,1656
708,"Alexei Von Jawlensky",Alexei,NULL,"Von Jawlensky",Russian,Expressionist,1864,1941
709,"Charles Brooking",Charles,NULL,Brooking,English,"Marine Art",1723,1759
710,"Paul Gabriël",Paul,NULL,Gabriel,Dutch,"Landscape Art",1828,1903
711,"Robert Delaunay",Robert,NULL,Delaunay,French,Cubist,1885,1941
712,"Albert Bierstadt",Albert,NULL,Bierstadt,American,"Hudson River School",1830,1902
713,"Isaac Van Ostade",Isaac,NULL,"Van Ostade",Dutch,Baroque,1621,1649
714,"Francisco De Goya",Francisco,NULL,"De Goya",Spanish,Rococo,1746,1828
715,"Jean-Hippolyte Flandrin",Jean,Hippolyte,Flandrin,French,Neoclassical,1809,1864
716,"William Stanley Haseltine",William,Stanley,Haseltine,American,"Hudson River School",1835,1900
717,"John Lynn",John,NULL,Lynn,English,"Marine Art",1826,1869
718,"Charles Willson Peale",Charles,Willson,Peale,American,Colonial,1741,1827
719,"Guido Reni",Guido,NULL,Reni,Italian,Baroque,1575,1642
720,"Jacques-Louis David",Jacques,Louis,David,French,Neoclassical,1748,1825
721,"Ernest Lawson",Ernest,NULL,Lawson,Canadian,Impressionist,1873,1939
722,"Fitz Hugh Lane",Fitz,Hugh,Lane,American,"Hudson River School",1804,1865
723,"George Gardner Symons",George,Gardner,Symons,American,Impressionist,1863,1930
724,"Gustave Moreau",Gustave,NULL,Moreau,French,Symbolist,1826,1898
725,"Santiago Rusiñol",Santiago,NULL,Rusinol,Spanish,Post-Impressionist,1861,1931
726,"James Peale",James,NULL,Peale,American,Colonial,1749,1831
727,"Geertgen tot Sint Jans",Geertgen,Tot,"Sint Jans",Dutch,Renaissance,1465,1495
728,"Jan Van Goyen",Jan,NULL,"Van Goyen",Dutch,Baroque,1596,1656
729,"Willem Van De Velde",Willem,Van,"De Velde",Dutch,"Marine Art",1633,1707
730,"Pieter Claesz",Pieter,NULL,Claesz,Dutch,Baroque,1597,1660
731,"Jean Ranc",Jean,NULL,Ranc,French,Baroque,1674,1735
732,"Frans Hals",Frans,NULL,Hals,Dutch,Baroque,1582,1666
733,"George Inness",George,NULL,Inness,American,"Hudson River School",1825,1894
734,"Edward Hicks",Edward,NULL,Hicks,American,Colonial,1780,1849
735,"David Teniers",David,NULL,Teniers,Flemish,Baroque,1610,1690
736,"Hendrick Ter Brugghen",Hendrick,NULL,"Ter Brugghen",Dutch,Baroque,1588,1629
737,"Nicolas Poussin",Nicolas,NULL,Poussin,French,Baroque,1594,1665
738,"Cima Da Conegliano",Cima,NULL,"Da Conegliano",Italian,"Early Renaissance",1459,1517
739,"Maurice De Vlaminck",Maurice,NULL,"De Vlaminck",French,Fauvist,1876,1958
740,"Horace Vernet",Horace,NULL,Vernet,French,Orientalist,1789,1863
741,"Henri Edmond Cross",Henri,Edmond,Cross,French,Pointillist,1856,1910
742,"Georges D'Espagnat",Georges,NULL,Despagnat,French,Post-Impressionist,1870,1950
743,"Sawrey Gilpin",Sawrey,NULL,Gilpin,English,Realist,1733,1807
744,"Giovanni Boldini",Giovanni,NULL,Boldini,Italian,Classicist,1842,1931
745,"Gustave Doré",Gustave,NULL,Dore,French,Romantic,1832,1883
746,"Jean-Marc Nattier",Jean,Marc,Nattier,French,Rococo,1685,1766
747,"Jean-Francois Raffaelli",Jean,Francois,Raffaelli,French,Impressionist,1850,1924
748,"Francois Gérard",Francois,NULL,Gerard,French,Neoclassical,1770,1837
749,"Pieter De Hooch",Pieter,NULL,"De Hooch",Dutch,Baroque,1629,1684
750,"Christian Rohlfs",Christian,NULL,Rohlfs,German,Expressionist,1849,1938
751,"Jean-Baptiste Perronneau",Jean,Baptiste,Perronneau,French,Rococo,1715,1783
752,"Louis Comfort Tiffany",Louis,Comfort,Tiffany,American,"Art Nouveau",1848,1933
753,"James McDougal Hart",James,Mcdougal,Hart,American,"Hudson River School",1828,1901
754,"Franz Xavier Winterhalter",Franz,Xavier,Winterhalter,German,Classicist,1805,1873
755,"Sergei Vinogradov",Sergei,NULL,Vinogradov,Russian,Impressionist,1864,1910
756,"Paul Sérusier",Paul,NULL,Serusier,French,Post-Impressionist,1863,1927
757,"Albrecht Adam",Adam,NULL,Albrecht,German,Baroque,1786,1862
758,"Karel Dujardin",Karel,NULL,Dujardin,Dutch,Baroque,1622,1678
759,"Konstantin Gorbatov",Konstantin,NULL,Gorbatov,Russian,Post-Impressionist,1876,1945
760,"Kasimir Malevich",Kasimir,NULL,Malevich,Russian,Cubist,1878,1935
761,"Francis Picabia",Francis,NULL,Picabia,French,Surrealist,1879,1953
762,"Jack Butler Yeats",Jack,Butler,Yeats,Irish,Expressionist,1871,1957
763,"Paul Signac",Paul,NULL,Signac,French,Pointillist,1863,1935
764,"Sir Joshua Reynolds",Joshua,NULL,Reynolds,English,Rococo,1723,1792
765,"Judith Leyster",Judith,NULL,Leyster,Dutch,Baroque,1609,1660
766,"Pietro Longhi",Pietro,NULL,Longhi,Italian,Rococo,1701,1785
767,"Pieter Jansz. Saenredam",Pieter,Jansz,Saenredam,Dutch,Baroque,1597,1665
768,"Caesar Van Everdingen",Caesar,Boetius,"Van Everdingen",Dutch,Baroque,1616,1678
769,"Berthe Morisot",Berthe,NULL,Morisot,French,Impressionist,1841,1895
770,"Mark Rothko",Mark,NULL,Rotho,American,"Modern Art",1903,1970
771,"Jacques Laurent Agasse",Jacques,Laurent,Agasse,Swiss,Romantic,1767,1849
772,"Spencer Frederick Gore",Spencer,Frederick,Gore,English,Expressionist,1878,1914
773,"Georges Rouault",Georges,NULL,Rouault,French,Expressionist,1871,1958
774,"Diego Velázquez",Diego,NULL,Velazquez,Spanish,Baroque,1599,1660
775,"Grant Wood",Grant,NULL,Wood,American,Colonial,1891,1942
776,"Frederic Remington",Frederic,NULL,Remington,American,"American West",1861,1909
777,"Ambrosius Bosschaert",Ambrosius,NULL,Bosschaert,Dutch,Baroque,1573,1621
778,"Raoul Dufy",Raoul,NULL,Dufy,French,Fauvist,1877,1953
779,"Maurice Prendergast",Maurice,NULL,Prendergast,American,Post-Impressionist,1858,1924
780,"Edwin Lord Weeks",Edwin,Lord,Weeks,American,Orientalist,1849,1903
781,"Giacomo Balla",Giacomo,NULL,Balla,Italian,Futurist,1871,1958
782,"Paul Gauguin",Paul,NULL,Gauguin,French,Post-Impressionist,1848,1903
783,"Rogier Van Der Weyden",Rogier,Van,"der Weyden",Dutch,"Northern Renaissance",1400,1464
784,"Jan Willem Pieneman",Jan,Willem,Pieneman,Dutch,Portraitist,1779,1853
785,"Lovis Corinth",Lovis,NULL,Corinth,German,Expressionist,1858,1925
786,"Henri Fantin-Latour",Henri,Fantin,Latour,French,Realist,1836,1904
787,"Lorenzo Lotto",Lorenzo,NULL,Lotto,Italian,"High Renaissance",1480,1556
788,"John Cleveley",John,NULL,Cleveley,English,"Marine Art",1712,1777
789,"George Garrard",George,NULL,Garrard,English,Realist,1760,1826
790,"William Trost Richards",William,Trost,Richards,American,"Hudson River School",1833,1905
791,"John Singer Sargent",John,Singer,Sargent,American,Impressionist,1856,1925
792,"Edvard Munch",Edvard,NULL,Munch,Norwegian,Expressionist,1863,1944
793,"Andrea Mantegna",Andrea,NULL,Mantegna,Italian,Renaissance,1431,1506
794,"Winslow Homer",Winslow,NULL,Homer,American,Realist,1836,1910
795,"Jan Van Eyck",Jan,Van,Eyck,Flemish,"Northern Renaissance",1395,1441
796,"Joseph Blackburn",Joseph,NULL,Blackburn,American,Rococo,1700,1780
797,"Philippe De Champaigne",Philippe,De,Champaigne,French,Baroque,1602,1674
798,"Ferdinand Bol",Ferdinand,NULL,Bol,Dutch,Baroque,1616,1680
799,"Camille Bombois",Camille,NULL,Bombois,French,Avant-Garde,1883,1970
800,"Amadeo De Souza-Cardoso",Amadeo,"de Souza",Cardoso,Spanish,Cubist,1887,1918
801,"Ivan Shishkin",Ivan,NULL,Shishkin,Russian,Romantic,1832,1898
802,"William Sidney Mount",William,Sidney,Mount,American,Realist,1807,1868
803,"John La Farge",John,NULL,"La Farge",American,Realist,1839,1924
804,"Sir Peter Lely",Sir,Peter,Lely,Dutch,Baroque,1618,1680
805,"Edward Henry Potthast",Edward,NULL,Potthast,American,Impressionist,1857,1927
806,"Willem Claesz. Heda",Willem,Claesz,Heda,Dutch,Baroque,1594,1680
807,"Henri Rousseau",Henri,NULL,Rousseau,French,Avant-Garde,1844,1910
808,"Alexey Savrasov",Alexey,NULL,Savrasov,Russian,"Landscape Art",1830,1897
809,"John Durand",John,NULL,Durand,American,Colonial,1731,1805
810,"Frederick Carl Frieseke",Frederick,Carl,Frieseke,American,Impressionist,1874,1939
811,"John Russell",John,NULL,Russell,English,Portraitist,1745,1806
812,"Jan Steen",Jan,NULL,Steen,Dutch,Baroque,1626,1679
813,"Jean-Honoré Fragonard",Jean,Honore,Fragonard,French,Rococo,1732,1806
814,"Jan Van Huysum",Jan,NULL,"Van Huysum",Dutch,Rococo,1682,1749
815,"Leonardo Da Vinci",Leonardo,NULL,"Da Vinci",Italian,"High Renaissance",1452,1519
816,"William James Glackens",William,NULL,Glackens,American,Realist,1870,1938
817,"Lord Frederic Leighton",Lord,Frederic,Leighton,English,Classicist,1830,1896
818,"Jan Miense Molenaer",Jan,Miense,Molenaer,Dutch,Baroque,1610,1668
819,"Willem Maris",Willem,NULL,Maris,Dutch,Naturalist,1844,1910
820,"Edmond Aman-Jean",Edmond,"Francois Aman",Jean,French,Symbolist,1860,1935
821,"Maxime Maufra",Maxime,NULL,Maufra,French,Impressionist,1863,1918
822,"William Hodges",William,NULL,Hodges,English,"Marine Art",1744,1797
823,"Alice Bailly",Alice,NULL,Bailly,Swiss,Cubist,1872,1938
824,"Ernst Ludwig Kirchner",Ernst,Ludwig,Kirchner,German,Expressionist,1880,1938
825,"Félix Vallotton",Felix,NULL,Vallotton,Swiss,Nabi,1865,1925
826,"Jean Baptiste Vanmour",Jean,Baptiste,Vanmour,Flemish,Orientalist,1671,1737
827,"Gustav Klimt",Gustav,NULL,Klimt,Austrian,"Art Nouveau",1862,1918
828,"Francis Augustus Silva",Francis,Augustus,Silva,American,"Hudson River School",1835,1886
829,"Gustave Caillebotte",Gustave,NULL,Caillebotte,French,Impressionist,1848,1894
830,"Giuseppe Arcimboldo",Giuseppe,NULL,Arcimboldo,Italian,Mannerist,1530,1593
831,"Amedeo Modigliani",Amedeo,NULL,Modigliani,Italian,Expressionist,1884,1920
